detectorid,starttime,volume,speed,occupancy,status
1130,2010-07-20 00:00:00-07,4,63,6,2
1130,2010-07-20 00:00:20-07,2,64,3,2
1130,2010-07-20 00:00:40-07,1,58,1,2
1130,2010-07-20 00:01:00-07,0,-1,0,0
1130,2010-07-20 00:01:20-07,0,-1,0,0
1130,2010-07-20 00:01:40-07,2,64,2,2
1130,2010-07-20 00:02:00-07,3,62,4,2
1130,2010-07-20 00:02:20-07,0,-1,0,0
1130,2010-07-20 00:02:40-07,2,59,6,2
1130,2010-07-20 00:03:00-07,0,-1,0,0
1130,2010-07-20 00:03:20-07,3,58,8,2
1130,2010-07-20 00:03:40-07,2,67,3,2
1130,2010-07-20 00:04:00-07,1,62,1,2
1130,2010-07-20 00:04:20-07,3,63,5,2
1130,2010-07-20 00:04:40-07,0,-1,0,0
1130,2010-07-20 00:05:00-07,1,58,1,2
1130,2010-07-20 00:05:20-07,1,53,6,2
1130,2010-07-20 00:05:40-07,0,-1,0,0
1130,2010-07-20 00:06:00-07,1,58,1,2
1130,2010-07-20 00:06:20-07,3,63,4,2
1130,2010-07-20 00:06:40-07,0,-1,0,0
1130,2010-07-20 00:07:00-07,1,58,1,2
1130,2010-07-20 00:07:20-07,3,62,4,2
1130,2010-07-20 00:07:40-07,1,58,1,2
1130,2010-07-20 00:08:00-07,3,56,5,2
1130,2010-07-20 00:08:20-07,0,-1,0,0
1130,2010-07-20 00:08:40-07,0,-1,0,0
1130,2010-07-20 00:09:00-07,0,-1,0,0
1130,2010-07-20 00:09:20-07,1,61,1,2
1130,2010-07-20 00:09:40-07,0,-1,0,0
1130,2010-07-20 00:10:00-07,2,64,3,2
1130,2010-07-20 00:10:20-07,1,58,1,2
1130,2010-07-20 00:10:40-07,4,60,8,2
1130,2010-07-20 00:11:00-07,0,-1,0,0
1130,2010-07-20 00:11:20-07,0,-1,0,0
1130,2010-07-20 00:11:40-07,1,53,1,2
1130,2010-07-20 00:12:00-07,3,58,5,2
1130,2010-07-20 00:12:20-07,0,-1,0,0
1130,2010-07-20 00:12:40-07,2,51,1,2
1130,2010-07-20 00:13:00-07,2,65,4,2
1130,2010-07-20 00:13:20-07,2,70,2,2
1130,2010-07-20 00:13:40-07,0,-1,0,0
1130,2010-07-20 00:14:00-07,2,53,2,2
1130,2010-07-20 00:14:20-07,3,63,4,2
1130,2010-07-20 00:14:40-07,3,60,6,2
1130,2010-07-20 00:15:00-07,1,53,4,2
1130,2010-07-20 00:15:20-07,0,-1,0,0
1130,2010-07-20 00:15:40-07,0,-1,0,0
1130,2010-07-20 00:16:00-07,4,66,6,2
1130,2010-07-20 00:16:20-07,0,-1,0,0
1130,2010-07-20 00:16:40-07,1,59,1,2
1130,2010-07-20 00:17:00-07,1,58,1,2
1130,2010-07-20 00:17:20-07,3,59,5,2
1130,2010-07-20 00:17:40-07,2,63,3,2
1130,2010-07-20 00:18:00-07,0,-1,0,0
1130,2010-07-20 00:18:20-07,2,59,3,2
1130,2010-07-20 00:18:40-07,3,55,4,2
1130,2010-07-20 00:19:00-07,0,-1,0,0
1130,2010-07-20 00:19:20-07,2,54,3,2
1130,2010-07-20 00:19:40-07,1,0,0,3
1130,2010-07-20 00:20:00-07,0,0,2,3
1130,2010-07-20 00:20:20-07,2,68,3,2
1130,2010-07-20 00:20:40-07,1,58,1,2
1130,2010-07-20 00:21:00-07,2,55,4,2
1130,2010-07-20 00:21:20-07,2,53,2,2
1130,2010-07-20 00:21:40-07,3,64,9,2
1130,2010-07-20 00:22:00-07,3,64,6,2
1130,2010-07-20 00:22:20-07,3,63,4,2
1130,2010-07-20 00:22:40-07,0,-1,0,0
1130,2010-07-20 00:23:00-07,2,64,3,2
1130,2010-07-20 00:23:20-07,1,58,1,2
1130,2010-07-20 00:23:40-07,0,-1,0,0
1130,2010-07-20 00:24:00-07,2,65,2,2
1130,2010-07-20 00:24:20-07,1,51,1,2
1130,2010-07-20 00:24:40-07,2,54,6,2
1130,2010-07-20 00:25:00-07,0,-1,0,0
1130,2010-07-20 00:25:20-07,0,-1,0,0
1130,2010-07-20 00:25:40-07,1,69,1,2
1130,2010-07-20 00:26:00-07,0,-1,0,0
1130,2010-07-20 00:26:20-07,2,66,2,2
1130,2010-07-20 00:26:40-07,2,63,3,2
1130,2010-07-20 00:27:00-07,1,62,1,2
1130,2010-07-20 00:27:20-07,0,-1,0,0
1130,2010-07-20 00:27:40-07,1,58,1,2
1130,2010-07-20 00:28:00-07,2,58,4,2
1130,2010-07-20 00:28:20-07,1,61,1,2
1130,2010-07-20 00:28:40-07,2,53,3,2
1130,2010-07-20 00:29:00-07,2,58,1,2
1130,2010-07-20 00:29:20-07,1,72,2,2
1130,2010-07-20 00:29:40-07,1,72,1,2
1130,2010-07-20 00:30:00-07,1,58,1,2
1130,2010-07-20 00:30:20-07,1,58,1,2
1130,2010-07-20 00:30:40-07,0,-1,0,0
1130,2010-07-20 00:31:00-07,3,56,4,2
1130,2010-07-20 00:31:20-07,0,-1,0,0
1130,2010-07-20 00:31:40-07,1,61,1,2
1130,2010-07-20 00:32:00-07,2,60,3,2
1130,2010-07-20 00:32:20-07,2,58,2,2
1130,2010-07-20 00:32:40-07,1,69,1,2
1130,2010-07-20 00:33:00-07,2,63,3,2
1130,2010-07-20 00:33:20-07,0,-1,0,0
1130,2010-07-20 00:33:40-07,1,58,1,2
1130,2010-07-20 00:34:00-07,0,-1,0,0
1130,2010-07-20 00:34:20-07,1,68,1,2
1130,2010-07-20 00:34:40-07,1,57,1,2
1130,2010-07-20 00:35:00-07,3,54,4,2
1130,2010-07-20 00:35:20-07,1,58,1,2
1130,2010-07-20 00:35:40-07,0,-1,0,0
1130,2010-07-20 00:36:00-07,1,61,1,2
1130,2010-07-20 00:36:20-07,0,-1,0,0
1130,2010-07-20 00:36:40-07,0,-1,0,0
1130,2010-07-20 00:37:00-07,1,58,1,2
1130,2010-07-20 00:37:20-07,0,-1,0,0
1130,2010-07-20 00:37:40-07,0,-1,0,0
1130,2010-07-20 00:38:00-07,0,-1,0,0
1130,2010-07-20 00:38:20-07,0,-1,0,0
1130,2010-07-20 00:38:40-07,0,-1,0,0
1130,2010-07-20 00:39:00-07,2,72,2,2
1130,2010-07-20 00:39:20-07,1,59,1,2
1130,2010-07-20 00:39:40-07,1,51,7,2
1130,2010-07-20 00:40:00-07,0,-1,0,0
1130,2010-07-20 00:40:20-07,1,58,1,2
1130,2010-07-20 00:40:40-07,1,44,1,2
1130,2010-07-20 00:41:00-07,3,51,5,2
1130,2010-07-20 00:41:20-07,2,51,3,2
1130,2010-07-20 00:41:40-07,0,-1,0,0
1130,2010-07-20 00:42:00-07,1,61,1,2
1130,2010-07-20 00:42:20-07,3,62,4,2
1130,2010-07-20 00:42:40-07,1,67,1,2
1130,2010-07-20 00:43:00-07,0,-1,0,0
1130,2010-07-20 00:43:20-07,1,58,1,2
1130,2010-07-20 00:43:40-07,1,83,1,2
1130,2010-07-20 00:44:00-07,1,58,1,2
1130,2010-07-20 00:44:20-07,0,-1,0,0
1130,2010-07-20 00:44:40-07,1,59,1,2
1130,2010-07-20 00:45:00-07,0,-1,0,0
1130,2010-07-20 00:45:20-07,1,69,1,2
1130,2010-07-20 00:45:40-07,2,63,3,2
1130,2010-07-20 00:46:00-07,0,-1,0,0
1130,2010-07-20 00:46:20-07,0,-1,0,0
1130,2010-07-20 00:46:40-07,1,51,5,2
1130,2010-07-20 00:47:00-07,0,-1,0,0
1130,2010-07-20 00:47:20-07,1,53,1,2
1130,2010-07-20 00:47:40-07,2,64,3,2
1130,2010-07-20 00:48:00-07,0,-1,0,0
1130,2010-07-20 00:48:20-07,0,-1,0,0
1130,2010-07-20 00:48:40-07,0,-1,0,0
1130,2010-07-20 00:49:00-07,0,-1,0,0
1130,2010-07-20 00:49:20-07,0,-1,0,0
1130,2010-07-20 00:49:40-07,0,-1,0,0
1130,2010-07-20 00:50:00-07,0,-1,0,0
1130,2010-07-20 00:50:20-07,2,51,6,2
1130,2010-07-20 00:50:40-07,4,63,6,2
1130,2010-07-20 00:51:00-07,1,69,1,2
1130,2010-07-20 00:51:20-07,3,64,11,2
1130,2010-07-20 00:51:40-07,0,-1,0,0
1130,2010-07-20 00:52:00-07,2,44,6,2
1130,2010-07-20 00:52:20-07,3,64,4,2
1130,2010-07-20 00:52:40-07,0,-1,0,0
1130,2010-07-20 00:53:00-07,2,56,3,2
1130,2010-07-20 00:53:20-07,0,-1,0,0
1130,2010-07-20 00:53:40-07,0,-1,0,0
1130,2010-07-20 00:54:00-07,1,53,2,2
1130,2010-07-20 00:54:20-07,0,-1,0,0
