detectorid,starttime,volume,speed,occupancy,status
1544,2011-01-01 00:00:00-08,1,57,1,2
1538,2011-01-01 00:00:00-08,0,0,0,0
1524,2011-01-01 00:00:00-08,4,64,2,2
1495,2011-01-01 00:00:00-08,0,0,0,0
1489,2011-01-01 00:00:00-08,0,0,0,0
1516,2011-01-01 00:00:00-08,1,65,1,2
1490,2011-01-01 00:00:00-08,0,0,0,0
1530,2011-01-01 00:00:00-08,0,0,0,0
1509,2011-01-01 00:00:00-08,0,0,0,0
1502,2011-01-01 00:00:00-08,0,0,0,0
1509,2011-01-01 00:00:20-08,0,0,0,0
1502,2011-01-01 00:00:20-08,0,0,0,0
1495,2011-01-01 00:00:20-08,0,0,0,0
1489,2011-01-01 00:00:20-08,0,0,0,0
1490,2011-01-01 00:00:20-08,0,0,0,0
1544,2011-01-01 00:00:20-08,0,0,0,0
1538,2011-01-01 00:00:20-08,1,54,1,2
1530,2011-01-01 00:00:20-08,1,58,1,2
1524,2011-01-01 00:00:20-08,0,0,0,0
1516,2011-01-01 00:00:20-08,2,57,2,2
1544,2011-01-01 00:00:40-08,0,0,0,0
1538,2011-01-01 00:00:40-08,1,60,1,2
1530,2011-01-01 00:00:40-08,0,0,0,0
1524,2011-01-01 00:00:40-08,1,56,0,3
1516,2011-01-01 00:00:40-08,1,58,1,2
1509,2011-01-01 00:00:40-08,0,0,0,0
1502,2011-01-01 00:00:40-08,1,60,1,2
1495,2011-01-01 00:00:40-08,1,58,1,2
1489,2011-01-01 00:00:40-08,0,0,0,0
1490,2011-01-01 00:00:40-08,0,0,0,0
1538,2011-01-01 00:01:00-08,3,53,4,2
1530,2011-01-01 00:01:00-08,0,0,0,0
1524,2011-01-01 00:01:00-08,2,60,1,2
1516,2011-01-01 00:01:00-08,0,0,0,0
1509,2011-01-01 00:01:00-08,0,0,0,0
1502,2011-01-01 00:01:00-08,0,0,0,0
1495,2011-01-01 00:01:00-08,0,0,0,0
1489,2011-01-01 00:01:00-08,0,0,0,0
1490,2011-01-01 00:01:00-08,0,0,0,0
1544,2011-01-01 00:01:00-08,0,0,0,0
1544,2011-01-01 00:01:20-08,0,0,0,0
1538,2011-01-01 00:01:20-08,1,60,1,2
1530,2011-01-01 00:01:20-08,0,0,0,0
1524,2011-01-01 00:01:20-08,1,57,1,2
1516,2011-01-01 00:01:20-08,0,0,0,0
1509,2011-01-01 00:01:20-08,0,0,0,0
1502,2011-01-01 00:01:20-08,0,0,0,0
1495,2011-01-01 00:01:20-08,2,52,3,2
1489,2011-01-01 00:01:20-08,0,0,0,0
1490,2011-01-01 00:01:20-08,0,0,0,0
1544,2011-01-01 00:01:40-08,1,62,1,2
1538,2011-01-01 00:01:40-08,1,57,1,2
1530,2011-01-01 00:01:40-08,0,0,0,0
1524,2011-01-01 00:01:40-08,7,51,7,2
1516,2011-01-01 00:01:40-08,0,0,0,0
1509,2011-01-01 00:01:40-08,0,0,0,0
1502,2011-01-01 00:01:40-08,3,55,3,2
1495,2011-01-01 00:01:40-08,0,0,0,0
1489,2011-01-01 00:01:40-08,0,0,0,0
1490,2011-01-01 00:01:40-08,0,0,0,0
1524,2011-01-01 00:02:00-08,1,48,1,2
1516,2011-01-01 00:02:00-08,0,0,0,0
1509,2011-01-01 00:02:00-08,1,53,1,2
1502,2011-01-01 00:02:00-08,0,0,0,0
1495,2011-01-01 00:02:00-08,0,0,0,0
1489,2011-01-01 00:02:00-08,0,0,0,0
1490,2011-01-01 00:02:00-08,0,0,0,0
1544,2011-01-01 00:02:00-08,0,0,0,0
1538,2011-01-01 00:02:00-08,0,0,0,0
1530,2011-01-01 00:02:00-08,1,61,1,2
1544,2011-01-01 00:02:20-08,0,0,0,0
1538,2011-01-01 00:02:20-08,1,48,1,2
1530,2011-01-01 00:02:20-08,2,64,2,2
1524,2011-01-01 00:02:20-08,1,47,1,2
1516,2011-01-01 00:02:20-08,0,0,0,0
1509,2011-01-01 00:02:20-08,1,58,1,2
1502,2011-01-01 00:02:20-08,0,0,0,0
1495,2011-01-01 00:02:20-08,0,0,0,0
